Unitate,Judet,medic generalist,psihiatru,cardiolog,gastroenterolog,latitude,longitude
Spitalul Județean de Urgență Alba,Alba,1,1,1,1,46.0715636,23.5570948
Spitalul Municipal Aiud,Alba,1,1,1,1,46.3078587,23.7234201
Spitalul Municipal Blaj,Alba,1,1,1,1,46.17934,23.92412
Spital Municipal Sebeș,Alba,1,1,1,1,45.9514021,23.5676841
Spitalul Orășenesc Cugir,Alba,1,1,1,1,45.8368645,23.364086
Spitalul Orășenesc Abrud;,Alba,1,1,1,1,46.2659645,23.0824202
Spitalul Orășenesc Câmpeni;,Alba,1,1,1,1,46.3624373,23.0419363
Spitalul Clinic Județean de Urgență Arad,Arad,1,1,1,1,46.1835447,21.30917
Spitalul Orășenesc Ineu,Arad,1,1,1,1,46.42268199999999,21.833825
Spitalul Orășenesc Lipova,Arad,1,1,1,1,46.0911805,21.6920617
Spitalul de Psihiatrie Mocrea,Arad,0,1,0,0,46.3966052,21.8155077
Spitalul de Psihiatrie Capâlnas,Arad,0,1,0,0,45.9747658,22.2241428
Spitalul Județean de Urgență Pitești-Argeș,Arges,1,1,1,1,44.8711549,24.8471675
Spitalul Militar de Urgență „Dr. Ion Jianu” Pitești,Arges,1,1,1,1,44.8645781,24.8615359
Spitalul Municipal Câmpulung Muscel,Arges,1,1,1,1,45.2662208,25.0379213
Spitalul Municipal Curtea de Argeș,Arges,1,1,1,1,45.1486796,24.6788108
Spitalul Orășenesc Regele Carol I Costesti,Arges,1,1,1,1,44.6742056,24.857734
Spitalul Orășenesc Sfântul Spiridon Mioveni,Arges,1,1,1,1,44.9691423,24.960527
Spitalul de Psihiatrie „Sf.Maria” Vedea,Arges,0,1,0,0,44.7790721,24.6269676
Spitalul Județean de Urgență Bacău,Bacau,1,1,1,1,46.5562244,26.9106189
Spitalul Clinic Județean de Urgență Oradea,Bihor,1,1,1,1,47.06425549999999,21.9540723
Spitalul Clinic Municipal „Dr. Gavril Curteanu” Oradea,Bihor,1,1,1,1,47.0751824,21.9174826
Spitalul Municipal Episcop Nicolae Popovici Beiuș,Bihor,1,1,1,1,46.6694903,22.3498597
Spitalul Municipal „Dr. Pop Mircea” Marghita,Bihor,1,1,1,1,47.3485246,22.3377552
Spitalul Municipal Salonta,Bihor,1,1,1,1,46.804885,21.6694099
Spitalul Orășenesc Aleșd,Bihor,1,1,1,1,47.0600767,22.3938906
Spitalul de Psihiatrie Nucet,Bihor,0,1,0,0,46.487981,22.552438
Spitalul de Psihiatrie și Pentru Măsuri de Siguranță Ștei,Bihor,0,1,0,0,46.54737919999999,22.4655376
Spitalul Județean de Urgență Bistrița,Bistrita-Nasaud,1,1,1,1,47.1404779,24.5066563
Spitalul Orășenesc „Dr. George Trifon” Năsăud,Bistrita-Nasaud,1,1,1,1,47.2841113,24.4095498
Spitalul Orășenesc Beclean,Bistrita-Nasaud,1,1,1,1,47.1830664,24.1857658
Spitalul Județean de Urgență Mavromati Botoșani,Botosani,0,0,0,0,47.74088159999999,26.6613642
Spitalul Municipal Dorohoi,Botosani,1,1,1,1,47.94577950000001,26.4034027
Spitalul de Neuropsihiatrie Podriga,Botosani,0,1,0,0,48.004127,26.8300838
Spitalul Clinic Județean de Urgență Brașov,Brasov,1,1,1,1,45.64859449999999,25.6205779
Spitalul Militar de Urgență „Regina Maria” din Brașov,Brasov,1,1,1,1,45.6447978,25.5999792
Spitalul Clinic de Psihiatrie și Neurologie din Brașov,Brasov,0,1,0,0,45.6379828,25.5849024
Spitalul General Căi Ferate Brașov,Brasov,1,1,1,1,45.6489047,25.6060723
Spitalul ”Dr.Caius Tiberiu Sparchez” din Zărnești,Brasov,1,1,1,1,45.5703878,25.3366817
Spitalul Municipal „Dr. Aurel Tulbure” din Făgăraș,Brasov,1,1,1,1,45.7026004,25.4473033
Spitalul Municipal Codlea,Brasov,1,1,1,1,45.7026004,25.4473033
Spitalul Municipal Săcele,Brasov,1,1,1,1,45.6108716,25.7169718
Spitalul Orășenesc Rupea,Brasov,1,1,1,1,46.0375806,25.2207695
Spitalul Județean de Urgență Buzău,Buzau,1,1,1,1,45.1505811,26.8011624
Spitalul Căi Ferate Buzau,Buzau,1,1,1,1,45.14368,26.83525
Spitalul Sf. Constantin,Buzau,1,1,1,1,45.1371109,26.8171122
Spitalul Clinic Județean de Urgență Cluj-Napoca,Cluj,1,1,1,1,46.7658357,23.5832459
Spitalul Clinic Municipal Cluj-Napoca,Cluj,1,1,1,1,46.7893483,23.6071765
Spitalul Municipal Turda,Cluj,1,1,1,1,46.57939229999999,23.7773675
Spitalul Municipal Câmpia Turzii,Cluj,1,1,1,1,46.546887,23.8822416
Spitalul Orășenesc Huedin,Cluj,1,1,1,1,46.8627109,23.0154832
Spitalul Militar Cluj-Napoca,Cluj,1,1,1,1,46.769742,23.6027673
Institutul Inimii „Nicolae Stăncioiu” Cluj Napoca,Cluj,0,0,1,0,46.76696279999999,23.5826167
Institutul Regional de Gastroenterologie-Hepatologie „Prof.Dr. Octavian Fodor”,Cluj,0,0,0,1,46.77613760000001,23.5923805
Spitalul de Boli Psihice Cronice Borșa,Cluj,0,1,0,0,46.93328,23.6580231
Spitalul Municipal Gherla,Cluj,1,1,1,1,47.02440550000001,23.9046942
Spitalul Municipal Dej,Cluj,1,1,1,1,47.1418522,23.8819584
Spitalul Clinic Județean de Urgență Constanța,Constanta,1,1,1,1,44.186097,28.6424088
Spitalul Municipal Medgidia,Constanta,1,1,1,1,44.2397168,28.2721406
Spitalul Orășenesc Cernavodă,Constanta,1,1,1,1,44.3416647,28.0443781
Spitalul Municipal Mangalia,Constanta,1,1,1,1,43.8195631,28.5878794
Spitalul Orășenesc Hârșova,Constanta,1,1,1,1,44.6912779,27.9522938
Spitalul Clinic Căi Ferate Constanța,Constanta,1,1,1,1,44.1655174,28.6342408
Spitalul Militar de Urgență „Dr.Alexandru Gafencu” Constanța,Constanta,1,1,1,1,44.18966,28.6516916
"Spitalul Filantropia, Craiova",Dolj,1,1,1,1,44.3222824,23.7913818
Spitalul Clinic Județean de Urgență Craiova,Dolj,1,1,1,1,44.3046219,23.7915124
Spitalul Clinic Căi Ferate Craiova,Dolj,1,1,1,1,44.3139167,23.7939898
Spitalul de Neuropsihiatrie Craiova,Dolj,0,1,0,0,44.317577,23.8163804
Spitalul Militar Craiova,Dolj,1,1,1,1,44.3024467,23.8183145
Spitalul Municipal Calafat,Dolj,1,1,1,1,43.994036,22.9436486
Spitalul de Psihiatrie Poiana Mare,Dolj,0,1,0,0,43.9336682,23.0682957
Spitalul Municipal „Prof.Dr. Irinel Popescu” Băilești,Dolj,1,1,1,1,44.0294725,23.3496067
Spitalul Orășenesc Segarcea,Dolj,1,1,1,1,44.0996321,23.743502
Spitalul Orășenesc Filiași,Dolj,1,1,1,1,44.5582961,23.5027638
Spitalul Orășenesc Așezămintele Brâncovenești Dăbuleni,Dolj,1,1,1,1,43.80119260000001,24.094187
Spitalul Județean de Urgență Drobeta-Turnu Severin,Mehedinti,1,1,1,1,44.6429436,22.6535231
Spitalul Clinic Județean de Urgență Sfântul Apostol Andrei Galați,Galati,1,1,1,1,45.4198282,28.0189584
Spitalul de Psihiatrie ”Ellisabeta Doamna” Galați,Galati,0,1,0,0,45.4593296,28.038961
Spitalul Județean Târgu-Jiu,Gorj,1,1,1,1,45.0353467,23.2796113
Spitalul Clinic Județean de Urgență „Sf. Spiridon” Iași,Iasi,1,1,1,1,47.1685392,27.582665
Spitalul Clinic de Urgență pentru Copii „Sf. Maria” Iași,Iasi,1,1,1,1,47.1595902,27.6078972
Institutul de Boli Cardiovasculare „Prof. Dr. George I.M. Georgescu” Iași,Iasi,0,0,1,0,47.18048100000001,27.568949
Spitalul Clinic „Dr. C. I. Parhon” Iași,Iasi,1,1,1,1,47.180312,27.5679668
Institutul de Psihiatrie „Socola” Iași,Iasi,0,1,0,0,47.12828649999999,27.6137629
Spitalul Clinic de Urgență „Prof. Dr. N. Oblu” Iași,Iasi,1,1,1,1,47.1777948,27.54481
Spitalul Clinic CF Iași,Iasi,1,1,1,1,47.1709307,27.5741502
Spitalul Clinic de Urgență Militar „Dr. I. Czihac” Iași,Iasi,1,1,1,1,47.1584549,27.6014418
Spitalul „Providența” al Mitropoliei Moldovei și Bucovinei,Iasi,1,1,1,1,47.1261224,27.5700958
Spitalul Nova Vita,Mures,1,1,1,1,46.5367745,24.5535095
Spitalul Clinic Județean Mureș,Mures,1,1,1,1,46.54599349999999,24.5663928
Spitalul Clinic Județean de Urgență Tîrgu Mureș,Mures,1,1,1,1,46.5589421,24.583202
Institutul de Urgență de Boli Cardiovasculare și Transplant Tîrgu Mureș,Mures,0,0,1,0,46.5385862,24.5514392
Spitalul Municipal Sighișoara,Mures,1,1,1,1,46.2206339,24.7838743
"Spitalul Municipal ""Dr. Gheorghe Marinescu"" Târnăveni",Mures,1,1,1,1,46.3286382,24.2936849
"Spitalul Orășenesc Luduș ""Dr. Valer Russu""",Mures,1,1,1,1,46.47532,24.09559
"Spitalul Municipal ""Dr. Eugen Nicoară"" Reghin",Mures,1,1,1,1,46.78206489999999,24.6951841
Spitalul Sovata-Niraj,Mures,1,1,1,1,46.5937783,25.0712382
Spitalul Județean de Urgență Slatina,Olt,1,1,1,1,44.4321914,24.3670278
Spitalul Municipal Caracal,Olt,1,1,1,1,44.1165769,24.3550871
Spitalul de Psihiatrie Cronici Schitu Greci,Olt,0,1,0,0,44.3189824,24.5450409
Spitalul Orășenesc Balș,Olt,1,1,1,1,44.3471044,24.1156639
Spitalul Orășenesc Corabia,Olt,1,1,1,1,43.77339810000001,24.5108117
Spitalul Judetean de Urgenta Ploiesti,Prahova,1,1,1,1,44.9627628,26.0092535
Spitalul CFR Ploiesti,Prahova,1,1,1,1,44.92713,25.99644
Spitalul Boldescu Ploiesti,Prahova,1,1,1,1,44.9498549,26.0245076
Spitalul Buna Vestire Ploiesti,Prahova,1,1,1,1,44.93892169999999,26.0307118
Spitalul Municipal Ploiesti,Prahova,1,1,1,1,44.93129709999999,26.0201859
Spitalul Municipal Campina,Prahova,1,1,1,1,45.1281164,25.732392
Spitalul de Psihiatrie Voila Campina,Prahova,0,1,0,0,45.1589477,25.749881
Spitalul Orasenesc Baicoi,Prahova,1,1,1,1,45.0296755,25.8379973
Spitalul Orasenesc Sinaia,Prahova,1,1,1,1,45.333551,25.5549925
Spitalul Orasenesc Valenii de Munte,Prahova,1,1,1,1,45.1756086,26.0350898
Spitalul Orasenesc Urlati,Prahova,1,1,1,1,44.99116739999999,26.2404781
Spitalul Orasenesc Mizil,Prahova,1,1,1,1,44.9995,26.43984
Spitalul Clinic Județean de Urgență Sibiu,Sibiu,1,1,1,1,45.7944924,24.1557007
Spitalul Clinic de Psihiatrie Dr Gheorghe Preda Sibiu,Sibiu,0,1,0,0,45.6275375,24.2608423
Spitalul Militar de Urgență Dr. Alexandru Augustin Sibiu,Sibiu,1,1,1,1,45.7848216,24.1392768
Spitalul Municipal Mediaș,Sibiu,1,1,1,1,46.1639799,24.3565345
Spitalul Orășenesc Agnita,Sibiu,1,1,1,1,45.9790606,24.6227306
Spitalul General Căi Ferate Sibiu,Sibiu,1,1,1,1,45.7921132,24.15606
Spitalul Orășenesc Cisnădie,Sibiu,1,1,1,1,45.7082406,24.1445384
Spitalul Județean de Urgență „Sfântul Ioan cel Nou” din Suceava,Suceava,1,1,1,1,47.6385814,26.2409217
Spitalul Mizericordienilor din Timișoara,Timis,1,1,1,1,45.7558276,21.2246224
Spitalul Clinic Județean de Urgență Timișoara,Timis,1,1,1,1,45.7370071,21.2417975
Spitalul Clinic Municipal Urgență Timișoara,Timis,1,1,1,1,45.7594431,21.2267886
Spitalul Municipal Dr. Teodor Andrei Lugoj,Timis,1,1,1,1,45.6905419,21.8887066
Spitalul Orășenesc Deta,Timis,1,1,1,1,45.3902564,21.2227934
Spitalul Orășenesc Făget,Timis,1,1,1,1,45.84488100000001,22.1707883
Spitalul Orășenesc Sânnicolau Mare,Timis,1,1,1,1,46.0681538,20.6361536
Spitalul Dr.Karl Diel Jimbolia,Timis,1,1,1,1,45.7868722,20.7105901
Spitalul de Psihiatrie și pentru Măsuri de Siguranță Jebel,Timis,0,1,0,0,45.5661814,21.1996388
Spitalul de Psihiatrie Gataia,Timis,0,1,0,0,45.4379093,21.4613843
Institutul de Boli Cardiovasculare Timișoara,Timis,0,0,1,0,45.7692665,21.2592675
Spitalul Militar de Urgență Dr. Victor Popescu Timișoara,Timis,1,1,1,1,45.7570156,21.2253217
Spitalul CFR Timișoara,Timis,1,1,1,1,45.7493849,21.2183986
Spitalul „Elena Beldiman” din Bârlad ,Vaslui,1,1,1,1,46.2351377,27.6713664
Spitalul Județean de Urgență Vâlcea,Valcea,1,1,1,1,45.118355,24.3629366
